,probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,gene,gene_HGNC,CTCF,distance,717HFZ,718AGZ,371WNR,318XQO,340OUL,893CAJ,151PZS,098CED,273PJW,377YFI,773VYR,928QES,786HDE,827FZN,364PIY,802QCI,021NNN,510ZEI,175NGE,670DBL,825ZCZ,912ILE,725WBV,829SZB,483NRC,717RYX,249ZBG,205OTD,765OKG,820YPQ,685BMF,545ZMG,294UQS,104ZSA,370EGY,860FWW,177TTP,151ZGD,743GHZ,990YHL,036WIO,state_modes
199116,cg27268717,chr7,56032046,56032048,+,GBAS,NIPSNAP2,chr7:56032119-56032253,72.0,1,14,1,3,1,1,1,1,10,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1
199134,cg23839680,chr7,56118237,56118239,-,CCT6A;PSPH,CCT6A;PSPH,chr7:56131967-56132101,13729.0,4,11,3,4,1,9,10,4,11,2,3,4,10,11,4,10,4,10,4,4,4,4,3,11,11,11,11,3,11,11,2,3,11,4,4,11,4,9,3,3,9,4
199149,cg12555334,chr7,56120289,56120291,-,CCT6A;PSPH,CCT6A;PSPH,chr7:56131967-56132101,11677.0,4,2,1,4,1,2,2,4,2,1,4,4,6,3,3,8,4,10,3,2,4,4,1,2,4,4,4,4,2,2,2,2,2,4,3,6,1,3,4,3,6,4
199162,cg27190537,chr7,56131960,56131962,+,SUMF2,SUMF2,chr7:56131967-56132101,6.0,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,2,1
199177,cg05724065,chr7,56160527,56160529,-,PHKG1,PHKG1,chr7:56160739-56160873,211.0,3,3,3,11,6,9,10,3,6,9,3,3,10,9,3,9,3,10,18,11,3,3,6,3,6,6,3,9,10,10,11,1,3,6,3,10,4,3,1,3,6,3
199178,cg19759064,chr7,56160686,56160688,-,PHKG1,PHKG1,chr7:56160739-56160873,52.0,3,3,3,6,6,9,10,1,6,10,4,4,10,9,3,9,3,10,18,11,3,3,6,3,6,11,1,9,10,10,11,1,3,6,1,10,11,3,2,1,6,3
199195,cg21096502,chr7,56174373,56174375,+,CHCHD2,CHCHD2,chr7:56160739-56160873,13501.0,1,1,1,1,2,2,1,1,10,2,1,1,2,1,1,1,1,10,2,2,1,1,1,2,2,1,1,1,10,2,2,1,2,1,1,10,1,1,1,1,2,1
199740,cg12856392,chr7,64126139,64126141,-,ZNF107,ZNF107,chr7:64145606-64145740,19466.0,2,2,1,4,2,1,18,1,18,2,1,2,2,11,2,4,2,18,2,18,2,2,18,2,1,2,1,11,18,2,2,2,2,2,2,10,2,1,1,1,18,2
199848,cg27542948,chr7,64453683,64453685,+,ERV3-1;ZNF117,ERV3-1;ZNF117,chr7:64411756-64411890,41794.0,6,12,18,13,12,5,12,5,12,18,5,5,12,8,5,12,6,13,13,6,6,5,12,12,12,12,6,12,12,12,13,13,6,13,5,12,12,12,12,5,5,12
200020,cg18219226,chr7,65447621,65447623,-,GUSB,GUSB,chr7:65440891-65441025,6597.0,1,4,3,2,3,9,10,3,10,3,3,3,10,3,3,3,3,10,18,4,3,3,3,1,9,4,1,3,10,9,3,3,3,9,3,9,3,3,3,3,18,3
200039,cg21937169,chr7,65541136,65541138,-,ASL,ASL,chr7:65541079-65541213,0.0,2,4,1,1,1,1,1,1,1,3,2,1,1,3,3,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1
200047,cg12463550,chr7,65579702,65579704,-,AC068533.7;CRCP,AC068533.7;CRCP,chr7:65579858-65579992,155.0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1
200068,cg15816080,chr7,65670214,65670216,-,TPST1,TPST1,chr7:65670243-65670377,28.0,2,2,1,2,2,2,1,1,2,14,2,2,2,2,2,2,1,2,1,1,2,1,2,1,14,2,1,1,1,1,4,2,1,2,14,1,2,2,2,1,2,2
200072,cg16253412,chr7,65670775,65670777,-,TPST1,TPST1,chr7:65670243-65670377,399.0,2,2,1,14,2,1,1,1,2,14,4,1,2,2,3,2,1,2,1,2,1,1,2,1,14,4,1,1,1,1,4,1,3,14,14,1,2,4,3,1,2,1
200172,cg15423613,chr7,66093348,66093350,+,KCTD7,KCTD7,chr7:66071954-66072088,21261.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1
200250,cg14702264,chr7,66385828,66385830,+,TMEM248,TMEM248,chr7:66370784-66370918,14911.0,3,1,1,3,1,3,3,1,4,1,2,4,1,2,3,1,1,1,1,4,1,1,1,2,1,2,1,3,1,4,3,3,1,3,4,1,1,3,3,1,2,1
200256,cg16075384,chr7,66386858,66386860,-,TMEM248,TMEM248,chr7:66370784-66370918,15941.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1
200347,cg13234848,chr7,69063970,69063972,+,AUTS2,AUTS2,chr7:69142151-69142285,78180.0,1,1,1,14,1,1,2,1,2,1,1,1,2,1,3,1,1,2,1,2,1,1,1,1,1,1,1,4,14,1,4,1,1,3,2,2,1,1,14,1,2,1
200487,cg01366419,chr7,70597090,70597092,-,WBSCR17,GALNT17,chr7:70322032-70322166,274925.0,1,14,1,2,14,1,14,14,2,2,2,2,1,14,4,14,1,17,2,2,2,2,16,1,14,11,2,11,17,2,2,2,1,14,2,14,14,14,2,1,14,2
200565,cg21003606,chr7,71877236,71877238,-,CALN1,CALN1,chr7:71871936-71872070,5167.0,18,18,18,18,18,18,13,18,18,18,13,18,13,16,18,12,18,17,13,13,18,18,13,18,13,13,18,18,17,13,18,6,18,12,13,13,18,18,18,18,18,18
200566,cg11828089,chr7,71878120,71878122,+,CALN1,CALN1,chr7:71871936-71872070,6051.0,18,18,18,18,13,18,13,18,13,18,13,18,13,17,18,13,18,17,13,13,18,18,13,18,13,13,13,18,17,13,18,6,18,13,13,13,18,18,18,18,18,18
200662,cg04033650,chr7,72722678,72722680,-,NSUN5,NSUN5,chr7:72732927-72733061,10248.0,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
200724,cg18438300,chr7,72847174,72847176,+,FZD9,FZD9,chr7:72850638-72850772,3463.0,17,16,16,18,16,17,18,18,18,6,15,6,17,17,17,16,17,17,16,18,17,6,16,17,16,16,6,18,16,17,17,6,18,16,17,12,17,15,17,17,17,17
200729,cg20692569,chr7,72848480,72848482,-,FZD9,FZD9,chr7:72850638-72850772,2157.0,14,14,2,11,16,6,12,2,4,1,14,2,17,14,4,16,2,16,14,4,2,2,16,4,14,15,2,11,15,14,14,2,4,15,2,4,14,14,14,2,2,14
200757,cg14093368,chr7,72936879,72936881,-,BAZ1B,BAZ1B,chr7:72936705-72936839,41.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
200764,cg15396310,chr7,72971397,72971399,-,BCL7B,BCL7B,chr7:72993128-72993262,21730.0,1,3,1,3,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1
200771,cg05386606,chr7,72972278,72972280,-,BCL7B,BCL7B,chr7:72993128-72993262,20849.0,3,3,1,3,3,1,3,3,1,1,3,3,1,3,3,3,3,1,1,3,3,3,3,1,3,3,3,1,1,3,3,3,1,3,3,3,1,3,3,3,1,3
200785,cg02290509,chr7,72992914,72992916,+,TBL2,TBL2,chr7:72993128-72993262,213.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
200794,cg22511633,chr7,72993506,72993508,-,TBL2,TBL2,chr7:72993128-72993262,245.0,1,1,1,1,3,1,1,3,1,1,3,1,1,3,3,3,3,1,2,3,3,1,3,1,1,3,1,3,3,3,1,1,3,3,3,1,1,3,1,1,1,1
200822,cg07737781,chr7,73038865,73038867,-,MLXIPL,MLXIPL,chr7:73041376-73041510,2510.0,16,15,14,14,15,2,2,14,18,2,14,2,18,16,14,16,2,2,2,2,14,14,2,14,14,15,16,2,16,17,17,2,4,16,2,11,14,15,15,2,14,2
200830,cg22185378,chr7,73039811,73039813,+,MLXIPL,MLXIPL,chr7:73041376-73041510,1564.0,17,16,16,17,16,17,17,16,18,17,16,17,18,16,17,16,17,16,18,18,17,16,7,16,16,16,16,6,17,17,17,6,17,16,16,17,16,16,16,16,17,16
200865,cg04134859,chr7,73097691,73097693,-,DNAJC30;WBSCR22,BUD23;DNAJC30,chr7:73082085-73082219,15473.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1
200874,cg26561611,chr7,73097959,73097961,+,DNAJC30;WBSCR22,BUD23;DNAJC30,chr7:73082085-73082219,15741.0,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
200901,cg18515291,chr7,73134092,73134094,-,STX1A,STX1A,chr7:73140176-73140310,6083.0,2,14,2,2,2,2,2,2,11,2,2,2,2,14,2,2,2,17,2,2,2,2,2,2,14,11,2,2,18,2,2,2,1,16,2,2,2,2,2,2,2,2
200914,cg14534967,chr7,73153138,73153140,+,ABHD11,ABHD11,chr7:73156710-73156844,3571.0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,2,1,1,2,1
200976,cg03969997,chr7,73256864,73256866,-,WBSCR27,METTL27,chr7:73254504-73254638,2227.0,2,2,2,2,1,2,2,1,2,2,1,1,2,2,4,1,1,2,1,1,2,2,1,1,2,1,2,1,2,2,1,2,2,2,1,10,1,2,1,1,2,2
201050,cg05592398,chr7,73497777,73497779,+,LIMK1,LIMK1,chr7:73482275-73482409,15369.0,2,3,1,4,3,4,4,3,4,3,4,3,1,3,4,3,1,11,2,4,1,3,3,4,4,4,1,4,11,4,4,1,3,4,4,11,2,3,3,1,4,4
201058,cg05163588,chr7,73498777,73498779,-,LIMK1,LIMK1,chr7:73482275-73482409,16369.0,2,14,1,2,4,2,2,3,1,1,4,2,2,3,4,1,3,1,1,2,1,1,4,2,4,3,1,11,1,2,4,2,1,4,1,4,2,3,4,1,2,1
201069,cg00827369,chr7,73588252,73588254,+,EIF4H,EIF4H,chr7:73589268-73589402,1015.0,1,3,1,1,1,1,1,1,1,1,3,3,1,3,3,1,1,1,1,3,1,1,1,1,1,3,1,3,1,3,3,1,1,3,3,1,1,1,1,3,2,1
201078,cg12241125,chr7,73589458,73589460,+,EIF4H,EIF4H,chr7:73589268-73589402,57.0,1,1,1,1,1,1,1,1,1,1,3,1,2,1,3,1,1,1,1,2,1,1,1,2,1,1,2,3,1,2,1,2,2,1,1,10,1,1,3,1,2,1
201095,cg03375002,chr7,73623875,73623877,+,LAT2,LAT2,chr7:73621018-73621152,2724.0,18,17,10,6,18,6,6,10,6,18,17,6,18,17,6,17,6,18,2,6,6,6,17,18,6,6,10,10,6,6,17,6,6,6,17,9,17,17,2,18,18,6
201108,cg03098361,chr7,73668405,73668407,+,RFC2,RFC2,chr7:73668712-73668846,306.0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
201117,cg00955230,chr7,73669204,73669206,+,RFC2,RFC2,chr7:73668712-73668846,359.0,1,3,1,3,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,3,1,1,3,3,1,1,3,1,1,3,1
201125,cg08695830,chr7,73703458,73703460,+,CLIP2,CLIP2,chr7:73689730-73689864,13595.0,1,4,1,3,3,3,3,1,3,3,4,1,1,4,4,3,1,10,1,4,1,3,4,3,4,3,3,4,3,4,3,3,3,15,14,3,4,4,3,1,4,3
201132,cg21265783,chr7,73704323,73704325,-,CLIP2,CLIP2,chr7:73689730-73689864,14460.0,1,2,1,1,2,2,1,1,1,2,2,1,1,4,2,2,1,1,1,2,1,1,14,1,14,4,1,2,1,1,1,2,4,14,4,2,2,2,3,1,1,1
201172,cg14120784,chr7,73867456,73867458,+,GTF2IRD1,GTF2IRD1,chr7:73864375-73864509,2948.0,1,9,9,3,9,9,9,10,10,10,1,4,18,3,4,9,1,9,10,9,10,4,3,3,15,11,1,9,9,3,9,11,1,15,9,11,2,9,3,3,6,9
201182,cg05146762,chr7,73868173,73868175,-,GTF2IRD1,GTF2IRD1,chr7:73864375-73864509,3665.0,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,14,2,10,2,2,1,1,2,1,2,1,2,2,2,1,1,2,1
201203,cg12240237,chr7,73946401,73946403,-,GTF2IRD1,GTF2IRD1,chr7:73959648-73959782,13246.0,6,5,6,6,5,6,5,6,6,6,5,6,6,5,6,5,6,6,6,6,6,6,5,6,18,5,6,6,6,5,6,6,5,18,5,6,6,5,6,6,6,6
201204,cg25770411,chr7,73946900,73946902,-,GTF2IRD1,GTF2IRD1,chr7:73959648-73959782,12747.0,6,5,6,6,5,6,5,6,6,6,5,6,6,5,6,5,6,6,6,6,6,6,5,6,18,6,6,6,6,5,6,6,5,18,5,6,6,5,6,6,6,6
201272,cg02053171,chr7,74489584,74489586,-,WBSCR16,RCC1L,chr7:74493497-74493631,3912.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201274,cg03373857,chr7,74489714,74489716,+,WBSCR16,RCC1L,chr7:74493497-74493631,3782.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
201346,cg25990230,chr7,75157344,75157346,-,PMS2P3,PMS2P3,chr7:75157565-75157699,220.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
201389,cg24650353,chr7,75368336,75368338,-,HIP1,HIP1,chr7:75386488-75386622,18151.0,1,2,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1
201406,cg05556717,chr7,75419303,75419305,+,CCL26,CCL26,chr7:75405989-75406123,13181.0,18,6,18,18,17,18,6,18,18,18,17,18,18,6,6,10,18,18,18,18,18,17,17,1,18,6,18,18,18,6,18,6,18,18,6,18,18,10,18,18,18,18
201407,cg12943082,chr7,75419310,75419312,+,CCL26,CCL26,chr7:75405989-75406123,13188.0,18,6,18,18,17,18,6,18,18,18,17,18,18,6,6,10,18,18,18,18,18,17,17,1,18,6,18,18,18,6,18,6,18,18,6,18,18,10,18,18,18,18
201458,cg20720686,chr7,75582880,75582882,+,POR,POR,chr7:75590684-75590818,7803.0,6,7,6,6,5,7,7,10,7,6,6,7,6,8,11,5,7,10,6,6,6,6,5,6,5,7,6,8,6,5,6,11,7,5,11,9,6,7,6,6,5,6
201512,cg11237883,chr7,75677248,75677250,-,MDH2;STYXL1,MDH2;STYXL1,chr7:75678067-75678201,818.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
201524,cg06772202,chr7,75678526,75678528,+,MDH2;STYXL1,MDH2;STYXL1,chr7:75678067-75678201,326.0,2,2,3,2,4,1,10,4,6,4,4,9,2,3,4,3,4,10,1,11,2,4,4,11,11,11,4,3,11,10,2,2,4,11,3,6,3,8,4,4,6,4
201609,cg01430430,chr7,75914312,75914314,-,SRRM3,SRRM3,chr7:75909918-75910052,4261.0,17,16,17,17,16,17,17,17,6,17,17,6,18,5,17,16,17,17,18,18,6,17,16,18,16,16,18,17,17,6,16,6,6,16,16,6,17,16,16,17,6,17
201611,cg18705067,chr7,75914997,75914999,-,SRRM3,SRRM3,chr7:75909918-75910052,4946.0,17,16,17,17,16,17,17,17,6,17,17,6,18,5,17,16,17,17,18,18,6,17,16,18,16,17,17,17,17,6,16,6,6,16,17,6,17,16,17,17,6,17
201625,cg27376817,chr7,75931887,75931889,-,HSPB1,HSPB1,chr7:75926634-75926768,5120.0,1,1,1,3,14,1,1,3,10,1,1,1,10,3,1,1,1,10,1,1,1,3,3,1,1,3,1,10,10,1,3,1,1,3,1,1,1,3,1,3,1,1
201626,cg27425193,chr7,75931931,75931933,+,HSPB1,HSPB1,chr7:75926634-75926768,5164.0,1,1,1,3,14,1,1,3,10,1,1,1,10,3,1,1,1,10,1,1,1,3,3,1,1,3,1,10,10,1,3,1,1,3,1,1,1,3,1,3,1,1
201678,cg12730381,chr7,75988211,75988213,+,YWHAG,YWHAG,chr7:75988699-75988833,487.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201689,cg06186973,chr7,75988651,75988653,+,YWHAG,YWHAG,chr7:75988699-75988833,47.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
201714,cg09916572,chr7,76026852,76026854,-,SSC4D;ZP3,SSC4D;ZP3,chr7:76018403-76018537,8316.0,2,4,2,4,4,4,4,3,4,1,4,4,2,4,4,14,2,2,2,4,2,2,4,4,2,4,4,4,4,4,4,4,3,14,4,4,2,4,4,4,2,4
201731,cg09434995,chr7,76040386,76040388,+,SSC4D;ZP3,SSC4D;ZP3,chr7:76018403-76018537,21850.0,18,17,18,18,18,18,18,18,18,18,17,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,18,18,18,18,18,18,18
201752,cg22995176,chr7,76139469,76139471,+,UPK3B,UPK3B,chr7:76142360-76142494,2890.0,18,15,18,6,6,11,9,6,9,18,11,6,18,11,11,9,6,18,18,11,18,18,11,6,12,4,6,6,11,3,10,6,6,11,6,11,18,11,6,6,11,6
201753,cg19384697,chr7,76139921,76139923,-,UPK3B,UPK3B,chr7:76142360-76142494,2438.0,18,15,18,6,16,18,9,18,4,18,18,6,18,11,11,9,6,18,18,11,18,18,17,6,12,11,6,6,6,3,15,6,6,18,6,11,18,11,6,6,11,18
201866,cg14334099,chr7,77166090,77166092,+,PTPN12,PTPN12,chr7:77199778-77199912,33687.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
201926,cg26358246,chr7,77427872,77427874,+,PHTF2;TMEM60,PHTF2;TMEM60,chr7:77428195-77428329,322.0,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1
202041,cg05902852,chr7,79082392,79082394,+,MAGI2;MAGI2-AS3,MAGI2;MAGI2-AS3,chr7:79083759-79083893,1366.0,1,14,1,1,14,1,1,1,3,1,1,1,1,3,3,1,1,10,1,4,1,1,14,1,14,3,1,1,10,3,1,1,1,14,3,1,1,3,1,1,2,1
202080,cg27268486,chr7,79764290,79764292,+,GNAI1,GNAI1,chr7:79764314-79764448,23.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,3,1,1,1,1,1,1
202103,cg18508525,chr7,80230061,80230063,-,CD36,CD36,chr7:80244203-80244337,14141.0,18,6,18,18,18,9,18,18,11,9,18,18,17,11,9,18,18,10,6,6,18,18,11,18,18,18,17,18,18,18,18,10,6,18,6,18,6,6,18,18,18,18
202135,cg19815904,chr7,80548306,80548308,+,SEMA3C,SEMA3C,chr7:80548560-80548694,253.0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,14,1,1,4,1,1,1,1,1,14,1,10,1,1,1,1,2,1
202137,cg11051843,chr7,80548694,80548696,-,SEMA3C,SEMA3C,chr7:80548560-80548694,1.0,1,1,1,1,1,1,1,1,10,1,1,1,2,2,1,1,2,1,2,2,1,1,1,2,14,1,1,4,10,1,3,1,1,14,1,10,1,1,1,1,2,1
202175,cg08005849,chr7,81399398,81399400,-,HGF,HGF,chr7:81399384-81399518,0.0,2,3,1,1,1,1,1,1,18,1,2,14,1,14,4,3,1,10,2,2,1,2,14,2,4,1,2,3,10,2,1,1,2,2,1,10,1,3,1,2,18,1
202211,cg04008901,chr7,82072778,82072780,+,CACNA2D1,CACNA2D1,chr7:82073464-82073598,685.0,1,1,1,1,14,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,14,2,1,3,3,1,1,1,1,14,1,1,1,1,1,1,14,1
202216,cg06379754,chr7,82073572,82073574,-,CACNA2D1,CACNA2D1,chr7:82073464-82073598,0.0,1,14,1,14,2,1,14,1,1,1,1,1,1,1,1,14,1,10,1,2,1,1,1,1,14,2,1,14,14,3,14,1,1,14,1,1,14,1,1,1,2,1
202273,cg08274234,chr7,83277970,83277972,-,SEMA3E,SEMA3E,chr7:83278322-83278456,351.0,2,14,1,14,14,14,3,14,4,2,2,2,2,14,4,2,2,1,2,2,2,2,14,11,2,2,1,15,2,2,2,4,2,14,14,11,1,14,2,2,2,2
202277,cg18464137,chr7,83278503,83278505,+,SEMA3E,SEMA3E,chr7:83278322-83278456,48.0,2,4,2,14,16,15,2,2,11,2,2,2,18,14,4,2,14,18,2,2,2,2,16,11,18,11,2,16,17,14,2,4,18,16,17,11,1,14,2,2,18,2
202315,cg05742308,chr7,83824383,83824385,-,SEMA3A,SEMA3A,chr7:83818279-83818413,5971.0,1,1,1,1,1,1,1,1,2,4,1,2,2,2,1,1,2,10,2,2,2,1,1,2,2,2,2,4,1,2,1,1,2,4,2,10,1,1,1,1,2,1
202386,cg14724613,chr7,86273428,86273430,+,GRM3,GRM3,chr7:86297176-86297310,23747.0,14,14,2,16,16,15,6,1,11,14,14,1,2,14,14,14,1,16,14,11,1,1,16,11,16,15,1,15,16,11,14,2,4,16,14,11,14,14,16,1,15,14
202434,cg27089973,chr7,86781458,86781460,-,AC005076.5;DMTF1,AC005076.5;DMTF1,chr7:86777818-86777952,3507.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1
202446,cg19861697,chr7,86782610,86782612,-,AC005076.5;DMTF1,AC005076.5;DMTF1,chr7:86777818-86777952,4659.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1
202457,cg10833091,chr7,86848750,86848752,-,TMEM243;Y_RNA,TMEM243;Y_RNA,chr7:86848618-86848752,0.0,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1
202466,cg11256279,chr7,86849302,86849304,+,TMEM243;Y_RNA,TMEM243;Y_RNA,chr7:86849114-86849248,55.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1
202482,cg15350036,chr7,86973676,86973678,+,CROT;TP53TG1;TP53TG1_1;TP53TG1_2,CROT;TP53TG1;TP53TG1_1;TP53TG1_2,chr7:86955443-86955577,18100.0,11,6,9,2,10,6,6,11,6,18,1,6,2,11,11,6,6,6,2,6,11,11,10,6,6,6,11,3,6,10,6,2,6,6,6,6,1,6,2,11,6,6
202483,cg14651992,chr7,86974673,86974675,-,CROT;TP53TG1;TP53TG1_2,CROT;TP53TG1;TP53TG1_2,chr7:86955443-86955577,19097.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202487,cg16063666,chr7,86974832,86974834,-,CROT;TP53TG1,CROT;TP53TG1,chr7:86955443-86955577,19256.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202488,cg14001567,chr7,86974837,86974839,-,CROT;TP53TG1,CROT;TP53TG1,chr7:86955443-86955577,19261.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202496,cg15652797,chr7,86974990,86974992,-,CROT;TP53TG1,CROT;TP53TG1,chr7:86955443-86955577,19414.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202498,cg13741326,chr7,86975243,86975245,+,CROT;TP53TG1,CROT;TP53TG1,chr7:86955443-86955577,19667.0,1,14,1,3,1,1,1,1,2,2,1,1,1,4,3,1,1,1,1,4,1,1,1,1,1,3,1,3,1,1,3,1,3,1,3,3,1,1,3,1,1,1
202516,cg05279864,chr7,87109318,87109320,+,ABCB4,ABCB4,chr7:87094720-87094854,14465.0,18,18,18,18,18,18,18,18,18,18,18,17,17,17,18,18,17,17,18,18,18,17,17,17,18,18,18,9,17,17,18,18,18,17,18,18,18,18,18,18,18,18
202517,cg04737046,chr7,87109369,87109371,+,ABCB4,ABCB4,chr7:87094720-87094854,14516.0,18,18,18,18,18,18,18,18,18,18,18,17,17,17,18,18,17,17,18,18,18,17,17,17,18,18,18,9,17,17,18,18,18,17,18,18,18,18,18,18,18,18
202518,cg18655915,chr7,87109798,87109800,+,ABCB4,ABCB4,chr7:87094720-87094854,14945.0,18,18,18,18,18,18,18,18,18,18,18,17,17,17,18,18,17,17,18,18,18,17,17,17,18,18,18,9,18,17,18,18,18,17,18,18,18,18,18,18,18,18
202537,cg01966465,chr7,87257415,87257417,+,ABCB1;RUNDC3B,ABCB1;RUNDC3B,chr7:87254083-87254217,3199.0,2,14,1,2,14,2,2,1,2,1,4,1,2,14,4,14,1,2,2,4,1,2,14,2,14,14,2,1,3,4,4,2,4,14,2,4,2,14,2,1,4,2
202541,cg15414833,chr7,87257766,87257768,+,ABCB1;RUNDC3B,ABCB1;RUNDC3B,chr7:87254083-87254217,3550.0,2,14,2,1,14,2,2,1,2,1,4,2,2,14,2,14,1,2,2,4,1,2,14,2,14,14,2,1,1,2,2,2,2,14,2,4,2,14,1,2,2,2
202555,cg22802739,chr7,87505100,87505102,+,DBF4;SLC25A40,DBF4;SLC25A40,chr7:87505115-87505249,14.0,1,3,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,2,1
