GEO Dataset,Control SRR list 1,Control SRR list 2,H3K4me3 GEO,H3K4me3 SRR list,H3K27ac GEO,H3K27ac SRR list,H3K4me1 GEO,H3K4me1 SRR list,H3K27me3 GEO,H3K27me3 SRR list,H3K9me3 GEO,H3K9me3 SRR list,H3K36me3 GEO,H3K36me3 SRR list,Age,Age notes,Sex,"Cell line, primary cell, organoid, or tissue",Cell type class,Cell type,Cancer state,Disease (if any),Treatment (if any),Platform,SE or PE,biological replicate,technical replicate,biological or technical replicate,Study,Notes
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847877,SRR2155195,,,,,,,,,45,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847878,SRR2155196,,,,,,,,,49,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847879,SRR2155197,,,,,,,,,59,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847880,SRR2155198,,,,,,,,,50,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847881,SRR2155199,,,,,,,,,52,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847882,SRR2155200,,,,,,,,,28,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847883,SRR2155201,,,,,,,,,62,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847884,SRR2155202,,,,,,,,,50,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847885,SRR2155203,,,,,,,,,77,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847886,SRR2155204,,,,,,,,,76,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847887,SRR2155205,,,,,,,,,76,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847888,SRR2155206,,,,,,,,,54,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847889,SRR2155207,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847890,SRR2155208,,,,,,,,,54,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847891,SRR2155209,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847892,SRR2155210,,,,,,,,,39,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847893,SRR2155211,,,,,,,,,39,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847894,SRR2155212,,,,,,,,,54,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847895,SRR2155213,,,,,,,,,54,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847896,SRR2155214,,,,,,,,,27,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847897,SRR2155215,,,,,,,,,27,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847898,SRR2155216,,,,,,,,,41,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847899,SRR2155217,,,,,,,,,41,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847900,SRR2155218,,,,,,,,,55,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847901,SRR2155219,,,,,,,,,55,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847902,SRR2155220,,,,,,,,,28,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847903,SRR2155221,,,,,,,,,28,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847904,SRR2155222,,,,,,,,,26,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847905,SRR2155223,,,,,,,,,26,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847906,SRR2155224,,,,,,,,,38,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847907,SRR2155225,,,,,,,,,38,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847908,SRR2155226,,,,,,,,,73,,M,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847909,SRR2155227,,,,,,,,,73,,M,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847910,SRR2155228,,,,,,,,,35,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847911,SRR2155229,,,,,,,,,29,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847912,SRR2155230,,,,,,,,,29,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847913,SRR2155231,,,,,,,,,57,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847914,SRR2155232,,,,,,,,,28,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847915,SRR2155233,,,,,,,,,26,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847916,SRR2155234,,,,,,,,,26,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Healthy,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847917,SRR2155235,,,,,,,,,72,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,"SRR2155238	",SRR2155241,,,GSM1847918,SRR2155236,,,,,,,,,69,,F,tissue,Blood,CD8-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE71952,SRR2155239,SRR2155240,,,GSM1847919,SRR2155237,,,,,,,,,56,,F,tissue,Blood,CD4-Positive T-Lymphocytes,,Graves,,Illumina HiSeq 2500,PE,,,,,
GSE72131,SRR2170639,,GSM1855843,SRR2170635,,,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,normal media,Illumina HiSeq 2500,SE,1,,,methionine restriction study,
GSE72131,SRR2170640,,GSM1855844,SRR2170636,,,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,normal media,Illumina HiSeq 2500,SE,2,,,methionine restriction study,
GSE72131,SRR2170641,,GSM1855845,SRR2170637,,,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,methionine restricted,Illumina HiSeq 2500,SE,1,,,methionine restriction study,
GSE72131,SRR2170642,,GSM1855846,SRR2170638,,,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,methionine restricted,Illumina HiSeq 2500,SE,2,,,methionine restriction study,
GSE72929,SRR2351735,,GSM1874933,SRR2351736,,,,,,,,,,,28,,M,tissue,Neural,Prefrontal Cortex,,,,Illumina Genome Analyzer II,SE,,,,,
GSE72929,SRR2351735,,GSM1874934,SRR2351737,,,,,,,,,,,30,,M,tissue,Neural,Prefrontal Cortex,,,,Illumina Genome Analyzer II,SE,,,,,
GSE73865,SRR2588346,,,,GSM1904603,SRR2588347,,,,,,,,,-0.46,,,tissue,Kidney,Kidney Cortex,,,,Illumina HiSeq 2000,SE,,,,,
GSE73865,SRR2588345,,,,GSM1904604,SRR2588348,,,,,,,,,-0.441,,,tissue,Kidney,Kidney Cortex,,,,Illumina HiSeq 2000,SE,,,,,
GSE74238,SRR2748700,,,,GSM1915113,SRR2748694,,,,,,,,,,,,cell line,Lung,IMR-90,,,proliferating,Illumina HiSeq 2000,SE,,,1,senescence study,
GSE74238,SRR2748701,,,,GSM1915114,SRR2748695,,,,,,,,,,,,cell line,Lung,IMR-90,,,quiescent,Illumina HiSeq 2000,SE,,,1,senescence study,
GSE74238,SRR2748702,,,,GSM1915115,SRR2748696,,,,,,,,,,,,cell line,Lung,IMR-90,,,senescent,Illumina HiSeq 2000,SE,,,1,senescence study,
GSE74238,SRR3287549,,,,GSM2098176,SRR3287543,,,,,,,,,,,,cell line,Lung,IMR-90,,,proliferating,Illumina HiSeq 2000,SE,,,2,senescence study,
GSE74238,SRR3287550,,,,GSM2098177,SRR3287544,,,,,,,,,,,,cell line,Lung,IMR-90,,,quiescent,Illumina HiSeq 2000,SE,,,2,senescence study,
GSE74238,SRR3287551,,,,GSM2098178,SRR3287545,,,,,,,,,,,,cell line,Lung,IMR-90,,,senescent,Illumina HiSeq 2000,SE,,,2,senescence study,
GSE75597,SRR2969520,,GSM1960245,SRR2969508,GSM1960253,SRR2969516,,,GSM1960249,SRR2969512,,,,,,,,tissue,Kidney,Kidney,No,,,Illumina HiSeq 2000,SE,,,,cancer study,donor 1
GSE75597,SRR2969521,,GSM1960246,SRR2969509,GSM1960254,SRR2969517,,,GSM1960250,SRR2969513,,,,,,,,tissue,Kidney,"Carcinoma, Renal Cell",Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,donor 1
GSE75597,SRR2969522,,GSM1960247,SRR2969510,GSM1960255,SRR2969518,,,GSM1960251,SRR2969514,,,,,,,,tissue,Kidney,Kidney,No,,,Illumina HiSeq 2000,SE,,,,cancer study,donor 2
GSE75597,SRR2969523,,GSM1960248,SRR2969511,GSM1960256,SRR2969519,,,GSM1960252,SRR2969515,,,,,,,,tissue,Kidney,"Carcinoma, Renal Cell",Yes,,,Illumina HiSeq 2000,SE,,,,cancer study,donor 2
GSE76618,SRR3090684,,GSM2029137,SRR3090665,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,1,1,,antibody quality study,monoclonal
GSE76618,SRR3090685,,GSM2029138,SRR3090666,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,1,2,,antibody quality study,monoclonal
GSE76618,SRR3090686,,GSM2029140,SRR3090668,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,2,1,,antibody quality study,monoclonal
GSE76618,SRR3090687,,GSM2029141,SRR3090669,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,2,2,,antibody quality study,monoclonal
GSE76618,SRR3090684,,GSM2029142,SRR3090670,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,1,1,,antibody quality study,polyclonal
GSE76618,SRR3090685,,GSM2029143,SRR3090671,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,1,2,,antibody quality study,polyclonal
GSE76618,SRR3090686,,GSM2029146,SRR3090674,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,2,1,,antibody quality study,polyclonal
GSE76618,SRR3090687,,GSM2029147,SRR3090675,,,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,2,2,,antibody quality study,polyclonal
GSE76618,SRR3090684,SRR3090685,,,GSM2029132,SRR3090660,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,1,,,antibody quality study,monoclonal
GSE76618,SRR3090686,SRR3090687,,,GSM2029133,SRR3090661,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,2,,,antibody quality study,monoclonal
GSE76618,SRR3090684,,,,GSM2029134,SRR3090662,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,1,1,,antibody quality study,polyclonal
GSE76618,SRR3090685,,,,GSM2029135,SRR3090663,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,1,2,,antibody quality study,polyclonal
GSE76618,SRR3090686,SRR3090687,,,GSM2029136,SRR3090664,,,,,,,,,,,,cell line,Uterus,HeLa,,,,Illumina HiSeq 2000,SE,2,,,antibody quality study,polyclonal
GSE78141,SRR3180984,,GSM2067930,SRR3180981,,,,,,,,,,,,,,cell line,Lung,IMR-90,,,MLL1 KD OIS,Illumina NextSeq 500,SE,,,,senescence study,
GSE78141,SRR3180985,,GSM2067931,SRR3180982,,,,,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina NextSeq 500,SE,,,,senescence study,
GSE78141,SRR3180986,,GSM2067932,SRR3180983,,,,,,,,,,,,,,cell line,Lung,IMR-90,,,control,Illumina NextSeq 500,SE,,,,senescence study,
GSE81322,SRR3498341,,GSM2150350,SRR3498341,GSM2150346,SRR3498337,GSM2150349,SRR3498340,GSM2150347,SRR3498338,GSM2150352,SRR3498343,GSM2150348,SRR3498339,,,,cell line,Lung,NCI-H1299,,,DAC,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibitor study,
GSE81322,SRR3498352,,GSM2150358,SRR3498349,GSM2150354,SRR3498345,GSM2150357,SRR3498348,GSM2150355,SRR3498346,GSM2150360,SRR3498351,GSM2150356,SRR3498347,,,,cell line,Lung,NCI-H1299,,,DACSB,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibitor study,
GSE81322,SRR3498360,,GSM2150366,SRR3498357,GSM2150362,SRR3498353,GSM2150365,SRR3498356,GSM2150363,SRR3498354,GSM2150368,SRR3498359,GSM2150364,SRR3498355,,,,cell line,Lung,NCI-H1299,,,control,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibitor study,
GSE81322,SRR3498368,,GSM2150374,SRR3498365,GSM2150370,SRR3498361,GSM2150373,SRR3498364,GSM2150371,SRR3498362,GSM2150376,SRR3498367,GSM2150372,SRR3498363,,,,cell line,Lung,NCI-H1299,,,SAHA,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibitor study,
GSE81322,SRR3498376,,GSM2150382,SRR3498373,GSM2150378,SRR3498369,GSM2150381,SRR3498372,GSM2150379,SRR3498370,GSM2150384,SRR3498375,GSM2150380,SRR3498371,,,,cell line,Lung,NCI-H1299,,,SB939,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibitor study,
GSE84356,SRR3954202,,GSM2232676,SRR3954194,,,,,GSM2232680,SRR3954198,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,HGPS,,Illumina Genome Analyzer IIx,SE,,,1,progeria reprogramming study,
GSE84356,SRR3954203,,GSM2232677,SRR3954195,,,,,GSM2232681,SRR3954199,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,HGPS,,Illumina Genome Analyzer IIx,SE,,,2,progeria reprogramming study,
GSE84356,SRR3954204,,GSM2232678,SRR3954196,,,,,GSM2232682,SRR3954200,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,normal,,Illumina Genome Analyzer IIx,SE,,,1,progeria reprogramming study,
GSE84356,SRR3954205,,GSM2232679,SRR3954197,,,,,GSM2232683,SRR3954201,,,,,,,,cell line,Pluripotent stem cell,iPS cells,,normal,,Illumina Genome Analyzer IIx,SE,,,2,progeria reprogramming study,
GSE86981,SRR4246899,,GSM2316338,SRR4246877,GSM2316309,SRR4246848,GSM2316326,SRR4246865,GSM2316314,SRR4246853,,,GSM2316319,SRR4246858,-0.499,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE86981,SRR4246901,,GSM2316339,SRR4246878,,,GSM2316327,SRR4246866,GSM2316315,SRR4246854,,,,,-0.46,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE86981,SRR4246902,,GSM2316340,SRR4246879,GSM2316311,SRR4246850,GSM2316328,SRR4246867,GSM2316316,SRR4246855,,,GSM2316321,SRR4246860,-0.422,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE86981,SRR4246905,,GSM2316341,SRR4246880,GSM2316312,SRR4246851,GSM2316329,SRR4246868,GSM2316317,SRR4246856,,,GSM2316322,SRR4246861,-0.307,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE86981,SRR4246898,,,,,,,,,,GSM2316349,SRR4246888,,,-0.518,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE86981,SRR4246900,,,,GSM2316310,SRR4246849,,,,,GSM2316350,SRR4246889,GSM2316320,SRR4246859,-0.479,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE86981,SRR4246903,,,,,,,,,,GSM2316351,SRR4246890,,,-0.383,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE86981,SRR4246904,,,,,,,,,,GSM2316352,SRR4246891,,,-0.326,,,tissue,Neural,Retina,,,,Illumina HiSeq 2000,SE,,,,,
GSE87552,SRR4340383,,,,GSM2333682,SRR4340380,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,control,Illumina NextSeq 500,SE,,,,IL1 study,
GSE87552,SRR4340384,,,,GSM2333683,SRR4340381,,,,,,,,,,,,cell line,Cardiovascular,HUVEC,,,IL1,Illumina NextSeq 500,SE,,,,IL1 study,
GSE89212,SRR4453283,,,,GSM2360939,SRR4453268,GSM2360945,SRR4453274,,,,,,,,,,cell line,Liver,HuH-7,,,control,Illumina HiSeq 2500,SE,,,,coronavirus infection study,
GSE89212,SRR4453283,,,,GSM2360940,SRR4453269,GSM2360946,SRR4453275,,,,,,,,,,cell line,Liver,HuH-7,,,CoV,Illumina HiSeq 2500,SE,,,,coronavirus infection study,
GSE89212,SRR4453284,,,,GSM2360941,SRR4453270,GSM2360947,SRR4453276,,,,,,,,,,cell line,Liver,HuH-7,,,IL1,Illumina HiSeq 2500,SE,,,,coronavirus infection study,
GSE89970,"SRR5029241	",SRR5029242,,,GSM2394402,SRR5029215,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,control,Illumina HiSeq 4000,SE,,,1,TNF and IL1 study,
GSE89970,"SRR5029241	",SRR5029242,,,GSM2394403,SRR5029216,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,control,Illumina HiSeq 4000,SE,,,2,TNF and IL1 study,
GSE89970,SRR5029243,SRR5029244,,,GSM2394404,SRR5029218,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,IL1,Illumina HiSeq 4000,SE,,,1,TNF and IL1 study,
GSE89970,SRR5029243,SRR5029244,,,GSM2394405,SRR5029219,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,IL1,Illumina HiSeq 4000,SE,,,2,TNF and IL1 study,
GSE89970,SRR5029245,,,,GSM2394406,SRR5029220,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,oxpapc,Illumina HiSeq 4000,SE,,,1,TNF and IL1 study,
GSE89970,SRR5029245,,,,GSM2394407,SRR5029222,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,oxpapc,Illumina HiSeq 4000,SE,,,2,TNF and IL1 study,
GSE89970,"SRR5029246	",SRR5029247,,,GSM2394408,SRR5029223,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,TNF,Illumina HiSeq 4000,SE,,,1,TNF and IL1 study,
GSE89970,"SRR5029246	",SRR5029247,,,GSM2394409,SRR5029225,,,,,,,,,,,,cell line,Cardiovascular,HAEC,,,TNF,Illumina HiSeq 4000,SE,,,2,TNF and IL1 study,
GSE90110,SRR5042510,,GSM2398391,SRR5042522,GSM2398388,SRR5042519,,,,,,,,,,,,cell line,Pancreas,L3.6,,,control,Illumina HiSeq 2000,SE,,,1,HDAC inhibitor study,
GSE90110,SRR5042511,,GSM2398392,SRR5042523,GSM2398389,SRR5042520,,,,,,,,,,,,cell line,Pancreas,L3.6,,,control,Illumina HiSeq 2000,SE,,,2,HDAC inhibitor study,
GSE90110,SRR5042512,,GSM2398393,SRR5042524,GSM2398390,SRR5042521,,,,,,,,,,,,cell line,Pancreas,L3.6,,,control,Illumina HiSeq 2000,SE,,,3,HDAC inhibitor study,
GSE90110,SRR5042513,,GSM2398394,SRR5042525,GSM2398386,SRR5042517,,,,,,,,,,,,cell line,Pancreas,L3.6,,,4SC-202,Illumina HiSeq 2000,SE,,,1,HDAC inhibitor study,
GSE90110,SRR5042515,,GSM2398395,SRR5042526,,,,,,,,,,,,,,cell line,Pancreas,L3.6,,,4SC-202,Illumina HiSeq 2000,SE,,,3,HDAC inhibitor study,
GSE90110,SRR5042514,,,,GSM2398387,SRR5042518,,,,,,,,,,,,cell line,Pancreas,L3.6,,,4SC-202,Illumina HiSeq 2000,SE,,,2,HDAC inhibitor study,
GSE90680,SRR5063153,,GSM2410291,SRR5063149,GSM2410285,SRR5063143,GSM2410289,SRR5063147,GSM2410287,SRR5063145,GSM2410293,SRR5063151,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,naïve,Illumina HiSeq 2500,SE,,,1,,
GSE90680,SRR5063154,,GSM2410292,SRR5063150,GSM2410286,SRR5063144,GSM2410290,SRR5063148,GSM2410288,SRR5063146,GSM2410294,SRR5063152,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,naïve,Illumina HiSeq 2500,SE,,,2,,
GSE90680,SRR5063165,,GSM2410303,SRR5063161,GSM2410297,SRR5063155,GSM2410301,SRR5063159,GSM2410299,SRR5063157,GSM2410305,SRR5063163,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,primed,Illumina HiSeq 2500,SE,,,1,,
GSE90680,SRR5063166,,GSM2410304,SRR5063162,GSM2410298,SRR5063156,GSM2410302,SRR5063160,GSM2410300,SRR5063158,GSM2410306,SRR5063164,,,,,,cell line,Pluripotent stem cell,Embryonic Stem Cells,,,primed,Illumina HiSeq 2500,SE,,,2,,
GSE97033,SRR5376453,,GSM2550187,SRR5376457,GSM2550184,SRR5376454,GSM2550186,SRR5376456,GSM2550185,SRR5376455,,,,,,,,cell line,Pluripotent stem cell,iPS cells (from Cardiac progenitor cells),,,,Illumina HiSeq 2500,SE,,,1,iPSC cell lines comparison study,
GSE97033,SRR5376460,,GSM2550194,SRR5376464,GSM2550191,SRR5376461,GSM2550193,SRR5376463,GSM2550192,SRR5376462,,,,,,,,cell line,Cardiovascular,Cardiac progenitor cells,,,,Illumina HiSeq 2500,SE,,,1,iPSC cell lines comparison study,
GSE97033,SRR5376467,,GSM2550201,SRR5376471,GSM2550198,SRR5376468,GSM2550200,SRR5376470,GSM2550199,SRR5376469,,,,,,,,cell line,Cardiovascular,Endothelial Cells,,,,Illumina HiSeq 2500,SE,,,1,iPSC cell lines comparison study,
GSE97033,SRR5376474,,GSM2550208,SRR5376478,GSM2550205,SRR5376475,GSM2550207,SRR5376477,GSM2550206,SRR5376476,,,,,,,,cell line,Pluripotent stem cell,iPS cells (from Endothelial Cells),,,,Illumina HiSeq 2500,SE,,,1,iPSC cell lines comparison study,
GSE97033,SRR5376481,,GSM2550215,SRR5376485,GSM2550212,SRR5376482,GSM2550214,SRR5376484,GSM2550213,SRR5376483,,,,,,,,cell line,Others,Fibroblasts,,,,Illumina HiSeq 2500,SE,,,1,iPSC cell lines comparison study,
GSE97033,SRR5376488,,GSM2550222,SRR5376492,GSM2550219,SRR5376489,GSM2550221,SRR5376491,GSM2550220,SRR5376490,,,,,,,,cell line,Pluripotent stem cell,iPS cells (from Fibroblasts),,,,Illumina HiSeq 2500,SE,,,1,iPSC cell lines comparison study,
GSE97033,SRR5376495,,GSM2550229,SRR5376499,GSM2550226,SRR5376496,GSM2550228,SRR5376498,GSM2550227,SRR5376497,,,,,,,,cell line,Pluripotent stem cell,iPS cells (from Cardiac progenitor cells),,,,Illumina HiSeq 2500,SE,,,2,iPSC cell lines comparison study,
GSE97033,SRR5376502,,GSM2550236,SRR5376506,GSM2550233,SRR5376503,GSM2550235,SRR5376505,GSM2550234,SRR5376504,,,,,,,,cell line,Cardiovascular,Cardiac progenitor cells,,,,Illumina HiSeq 2500,SE,,,2,iPSC cell lines comparison study,
GSE97033,SRR5376509,,GSM2550243,SRR5376513,GSM2550240,SRR5376510,GSM2550242,SRR5376512,GSM2550241,SRR5376511,,,,,,,,cell line,Cardiovascular,Endothelial Cells,,,,Illumina HiSeq 2500,SE,,,2,iPSC cell lines comparison study,
GSE97033,SRR5376516,,GSM2550250,SRR5376520,GSM2550247,SRR5376517,GSM2550249,SRR5376519,GSM2550248,SRR5376518,,,,,,,,cell line,Pluripotent stem cell,iPS cells (from Endothelial Cells),,,,Illumina HiSeq 2500,SE,,,2,iPSC cell lines comparison study,
GSE97033,SRR5376523,,GSM2550257,SRR5376527,GSM2550254,SRR5376524,GSM2550256,SRR5376526,GSM2550255,SRR5376525,,,,,,,,cell line,Others,Fibroblasts,,,,Illumina HiSeq 2500,SE,,,2,iPSC cell lines comparison study,
